Time (s),Encoder Displacement (m),Load Cell Full Scale (N),epsLX [%]
12.9,0.000136876,8.0636689,0.444447
13,0.000137871,8.1228441,0.447039
13.1,0.000138864,8.1303209,0.44721
13.2,0.000139861,8.1622651,0.450546
13.3,0.000140879,8.1992305,0.454216
13.4,0.000141862,8.2276968,0.458887
13.5,0.00014287,8.3066436,0.462673
13.6,0.000143869,8.329802,0.465531
13.7,0.000144876,8.3296565,0.467906
13.8,0.000145874,8.3905621,0.468863
13.9,0.00014688,8.4194648,0.469372
14,0.00014787,8.4247822,0.470736
14.1,0.000148866,8.4289719,0.475617
14.2,0.000149872,8.5123896,0.48414
14.3,0.000150875,8.5662302,0.492341
14.4,0.000151865,8.5888136,0.498866
14.5,0.000152871,8.6471998,0.505195
14.6,0.000153871,8.6095034,0.511107
14.7,0.000154873,8.7318172,0.517403
14.8,0.000155867,8.8614857,0.522591
14.9,0.000156878,8.7252467,0.526962
15,0.000157878,8.7729413,0.530016
15.1,0.000158871,8.8110368,0.5321
15.2,0.000159874,8.8585161,0.534224
15.3,0.000160878,8.8340359,0.536956
15.4,0.000161866,8.9111084,0.541389
15.5,0.000162866,8.9580432,0.545455
15.6,0.000163875,8.9639212,0.55116
15.7,0.000164871,9.079588,0.555762
15.8,0.000165869,8.9644532,0.559656
15.9,0.000166869,9.1027492,0.564626
16,0.000167864,9.1188962,0.568923
16.1,0.00016887,9.1471742,0.57405
16.2,0.000169872,9.1738789,0.579174
16.3,0.000170878,9.2079736,0.583667
16.4,0.000171879,9.2486054,0.586768
16.5,0.000172869,9.2737827,0.590653
16.6,0.000173869,9.3430303,0.594679
16.7,0.000174868,9.3754368,0.598952
16.8,0.000175864,9.3560234,0.601922
16.9,0.000176865,9.3834327,0.606732
17,0.000177884,9.4072606,0.611695
17.1,0.000178866,9.4564054,0.615096
17.2,0.000179878,9.4664469,0.61858
17.3,0.000180872,9.5090435,0.622659
17.4,0.000181865,9.5682259,0.627542
17.5,0.000182865,9.5588419,0.632664
17.6,0.000183861,9.5957034,0.63546
17.7,0.00018488,9.6075219,0.639401
17.8,0.000185872,9.6101427,0.643874
17.9,0.000186872,9.6539266,0.648934
18,0.000187874,9.6856217,0.654141
18.1,0.000188875,9.7011919,0.659725
18.2,0.000189874,9.7042142,0.6635
18.3,0.000190873,9.821578,0.666658
18.4,0.000191878,9.8207044,0.672402
18.5,0.000192875,9.7994501,0.675914
18.6,0.000193877,9.8332552,0.681351
18.7,0.000194872,9.8431092,0.686831
18.8,0.000195874,9.8764408,0.689873
18.9,0.000196873,9.893349,0.69548
19,0.000197876,9.9098059,0.699589
19.1,0.000198888,9.9438008,0.704681
19.2,0.000199876,9.9825221,0.708841
19.3,0.000200873,10.011277,0.712951
19.4,0.000201869,10.036476,0.717792
19.5,0.000202863,10.074908,0.722744
19.6,0.000203881,10.13785,0.727389
19.7,0.000204874,10.146365,0.731819
19.8,0.000205862,10.141721,0.736814
19.9,0.000206875,10.207171,0.740275
20,0.000207876,10.266256,0.744848
20.1,0.000208877,10.293755,0.749211
20.2,0.000209872,10.238405,0.75478
20.3,0.000210884,10.254248,0.759477
20.4,0.000211872,10.283908,0.76303
20.5,0.00021287,10.298608,0.767869
20.6,0.00021388,10.350299,0.772244
20.7,0.000214868,10.370066,0.775286
20.8,0.00021587,10.396037,0.781465
20.9,0.000216873,10.44704,0.785772
21,0.000217874,10.489007,0.789653
21.1,0.000218869,10.474577,0.794637
21.2,0.000219882,10.418904,0.799583
21.3,0.00022087,10.486695,0.803876
21.4,0.000221877,10.508222,0.808234
21.5,0.000222873,10.520369,0.813072
21.6,0.000223862,10.522137,0.81753
21.7,0.000224873,10.572194,0.822026
21.8,0.000225873,10.540629,0.827641
21.9,0.000226869,10.499327,0.831376
