Time (s),Encoder Displacement (m),Load Cell Full Scale (N),epsLX [%]
68,0.000687866,12.671477,3.634207
68.1,0.000688868,12.649471,3.638971
68.2,0.000689867,12.75034,3.647366
68.3,0.000690877,12.693468,3.654968
68.4,0.000691864,12.737884,3.662041
68.5,0.00069287,12.692576,3.670043
68.6,0.000693875,12.676199,3.678541
68.7,0.000694874,12.69694,3.685124
68.8,0.000695859,12.694718,3.690924
68.9,0.000696924,12.664874,3.698279
69,0.000697876,12.667241,3.706076
69.1,0.000698866,12.672525,3.712228
69.2,0.000699879,12.678538,3.71975
69.3,0.000700863,12.708772,3.726547
69.4,0.000701878,12.745783,3.734994
69.5,0.000702861,12.676019,3.742196
69.6,0.000703874,12.621072,3.749446
69.7,0.000704876,12.670308,3.756304
69.8,0.000705868,12.619103,3.76302
69.9,0.000706875,12.674478,3.769763
70,0.000707878,12.686868,3.777004
70.1,0.000708873,12.614,3.784654
70.2,0.000709866,12.680286,3.791816
70.3,0.000710877,12.613867,3.799461
70.4,0.000711869,12.659473,3.804304
70.5,0.000712876,12.670319,3.811028
70.6,0.000713884,12.680639,3.816967
70.7,0.000714863,12.638435,3.824766
70.8,0.000715873,12.604865,3.833456
70.9,0.000716864,12.66684,3.839725
71,0.000717864,12.641757,3.847428
71.1,0.000718879,12.591671,3.853626
71.2,0.00071986,12.658349,3.860555
71.3,0.000720869,12.590816,3.869002
71.4,0.000721865,12.62474,3.874479
71.5,0.00072288,12.614342,3.881129
71.6,0.000723859,12.637914,3.889467
71.7,0.000724874,12.649969,3.897421
71.8,0.000725874,12.640462,3.903313
71.9,0.000726864,12.701994,3.910574
72,0.000727876,12.613423,3.917134
72.1,0.000728871,12.645596,3.924913
72.2,0.00072987,12.640784,3.931582
72.3,0.000730876,12.647714,3.937216
72.4,0.000731867,12.640289,3.943998
72.5,0.000732884,12.651285,3.951306
72.6,0.000733866,12.625377,3.958195
72.7,0.000734875,12.694168,3.96444
72.8,0.00073587,12.587798,3.971623
72.9,0.00073686,12.657327,3.977651
73,0.000737867,12.65471,3.985292
73.1,0.000738881,12.6069,3.991457
73.2,0.000739864,12.640517,4.00067
73.3,0.000740874,12.610764,4.005694
73.4,0.000741873,12.602078,4.014248
73.5,0.000742869,12.588973,4.021983
73.6,0.000743867,12.611087,4.030453
73.7,0.000744873,12.618921,4.035568
73.8,0.000745861,12.632059,4.041976
73.9,0.000746872,12.625815,4.04869
74,0.000747875,12.633379,4.056336
74.1,0.000748864,12.650754,4.063161
74.2,0.000749884,12.577068,4.069681
74.3,0.000750866,12.675576,4.076824
74.4,0.000751883,12.639717,4.083601
74.5,0.000752863,12.646063,4.090007
74.6,0.000753879,12.636102,4.095605
74.7,0.00075487,12.577723,4.103565
74.8,0.000755881,12.589283,4.110431
74.9,0.000756864,12.5728,4.116272
75,0.000757873,12.555913,4.124346
75.1,0.000758864,12.62695,4.131546
75.2,0.000759879,12.581038,4.139196
75.3,0.000760862,12.578892,4.145769
75.4,0.000761873,12.682454,4.153678
75.5,0.000762856,12.432838,4.160876
75.6,0.000763879,12.570034,4.167124
75.7,0.000764862,12.585837,4.173807
75.8,0.000765884,12.602077,4.18121
75.9,0.000766863,12.578137,4.187656
76,0.000767874,12.58468,4.193417
76.1,0.000768868,12.605584,4.200715
76.2,0.000769888,12.612266,4.208637
76.3,0.000770864,12.543051,4.216073
76.4,0.000771883,12.561317,4.223338
76.5,0.000772873,12.542623,4.230137
76.6,0.000773886,12.573499,4.237338
76.7,0.000774863,12.574668,4.243331
76.8,0.000775869,12.570125,4.249978
76.9,0.000776876,12.604753,4.257858
77,0.000777865,12.586092,4.263399
77.1,0.000778879,12.621818,4.270807
77.2,0.000779863,12.651406,4.277634
77.3,0.000780876,12.580505,4.28421
77.4,0.000781868,12.589404,4.291923
77.5,0.000782875,12.582348,4.2961
77.6,0.000783874,12.603086,4.303631
77.7,0.000784869,12.600723,4.311945
77.8,0.000785874,12.536295,4.319441
77.9,0.000786868,12.647828,4.324029
78,0.000787864,12.541734,4.331062
78.1,0.00078887,12.601471,4.337055
78.2,0.000789883,12.557563,4.343781
78.3,0.000790866,12.565415,4.351337
78.4,0.000791886,12.612092,4.360101
78.5,0.000792865,12.57565,4.366334
78.6,0.00079388,12.572594,4.373963
78.7,0.000794864,12.570078,4.378783
78.8,0.000795876,12.673634,4.384084
78.9,0.000796864,12.575392,4.391515
79,0.000797888,12.583263,4.397656
79.1,0.000798861,12.490437,4.404376
79.2,0.000799875,12.596941,4.41061
79.3,0.00080086,12.563919,4.417239
79.4,0.000801881,12.564616,4.425278
79.5,0.00080287,12.550349,4.432011
79.6,0.000803865,12.539429,4.438486
79.7,0.000804885,12.591748,4.445284
79.8,0.000805862,12.586387,4.450753
79.9,0.000806875,12.601652,4.458621
80,0.000807868,12.503111,4.464547
80.1,0.000808875,12.540308,4.472699
80.2,0.000809873,12.55684,4.478831
80.3,0.000810878,12.527224,4.485889
80.4,0.000811881,12.581764,4.491283
80.5,0.000812865,12.543643,4.499727
80.6,0.000813883,12.550362,4.506566
80.7,0.000814863,12.511454,4.512577
80.8,0.000815881,12.55547,4.51859
80.9,0.000816865,12.525899,4.524536
81,0.000817879,12.525355,4.53052
81.1,0.00081887,12.581067,4.53974
81.2,0.000819863,12.545258,4.547739
81.3,0.000820865,12.530183,4.554449
81.4,0.000821869,12.530335,4.558351
81.5,0.000822862,12.45693,4.566331
81.6,0.00082387,12.50947,4.573237
81.7,0.000824872,12.47988,4.579592
81.8,0.000825865,12.464774,4.586615
81.9,0.000826883,12.515099,4.593361
82,0.00082786,12.523791,4.600713
82.1,0.000828869,12.523061,4.607978
82.2,0.000829859,12.51448,4.613448
82.3,0.000830889,12.506424,4.621502
82.4,0.000831867,12.48873,4.626984
82.5,0.000832882,12.565155,4.634886
82.6,0.000833881,12.479061,4.640918
82.7,0.000834895,12.598283,4.648101
82.8,0.000835865,12.523648,4.655659
82.9,0.000836879,12.531164,4.662106
83,0.000837861,12.545751,4.667349
83.1,0.00083888,12.546617,4.675013
83.2,0.000839865,12.564824,4.681234
83.3,0.000840873,12.602055,4.688355
83.4,0.00084186,12.497195,4.694253
83.5,0.000842875,12.531135,4.699813
83.6,0.000843862,12.533858,4.70733
83.7,0.000844885,12.530326,4.716646
83.8,0.000845864,12.506271,4.72326
83.9,0.000846874,12.551899,4.73044
84,0.000847866,12.570068,4.736631
84.1,0.000848874,12.61185,4.743154
84.2,0.000849865,12.538428,4.74887
84.3,0.000850881,12.585609,4.755287
84.4,0.000851866,12.59101,4.762498
84.5,0.000852877,12.467894,4.76909
84.6,0.000853887,12.533714,4.775297
84.7,0.000854865,12.513281,4.782967
84.8,0.000855877,12.487026,4.788255
84.9,0.000856875,12.530863,4.794184
85,0.000857879,12.548385,4.801407
85.1,0.000858881,12.516275,4.808033
85.2,0.000859864,12.479527,4.815183
85.3,0.000860868,12.490861,4.820943
85.4,0.000861866,12.508926,4.828316
85.5,0.000862871,12.548237,4.836315
85.6,0.000863874,12.467345,4.840985
85.7,0.000864869,12.521146,4.847904
85.8,0.00086587,12.513977,4.853482
85.9,0.000866861,12.521088,4.861025
86,0.000867874,12.510834,4.868432
86.1,0.000868878,12.538654,4.875225
86.2,0.000869862,12.461705,4.881016
86.3,0.000870872,12.493851,4.886966
86.4,0.000871866,12.533802,4.894188
86.5,0.000872887,12.49785,4.900193
86.6,0.000873868,12.495008,4.907245
86.7,0.000874882,12.541416,4.9128
86.8,0.000875863,12.492603,4.92161
86.9,0.000876883,12.532265,4.930571
87,0.000877866,12.434737,4.93539
87.1,0.000878874,12.537119,4.942713
87.2,0.000879867,12.604515,4.949109
87.3,0.000880876,12.470529,4.956378
87.4,0.000881864,12.519873,4.962539
87.5,0.000882877,12.466414,4.969507
87.6,0.000883863,12.553862,4.976311
87.7,0.000884867,12.50042,4.985481
87.8,0.000885879,12.538363,4.990847
87.9,0.000886878,12.504173,4.997768
88,0.000887862,12.438305,5.005364
88.1,0.000888874,12.521504,5.012478
88.2,0.00088986,12.503884,5.016518
88.3,0.000890883,12.507536,5.024688
88.4,0.000891859,12.514251,5.032841
88.5,0.000892882,12.481407,5.03978
88.6,0.000893868,12.49432,5.044818
88.7,0.00089488,12.542419,5.051848
88.8,0.00089587,12.54936,5.05873
88.9,0.000896875,12.466566,5.064556
89,0.000897872,12.510808,5.073334
89.1,0.000898877,12.51112,5.080072
89.2,0.000899882,12.50165,5.087139
89.3,0.000900865,12.499044,5.094573
89.4,0.000901868,12.50783,5.100559
89.5,0.000902872,12.52169,5.108023
89.6,0.000903865,12.501974,5.113894
89.7,0.000904867,12.540667,5.115808
89.8,0.000905866,12.37622,5.117727
89.9,0.00090687,12.535504,5.128598
90,0.000907867,12.517414,5.145191
90.1,0.00090887,12.477226,5.151324
90.2,0.000909883,12.492135,5.157204
90.3,0.000910863,12.447582,5.164546
90.4,0.000911875,12.472763,5.171003
90.5,0.000912861,12.514618,5.178839
90.6,0.000913876,12.493274,5.186306
90.7,0.000914865,12.36535,5.194231
90.8,0.000915874,12.503695,5.200027
90.9,0.000916872,12.474347,5.207245
91,0.000917879,12.504574,5.214313
91.1,0.000918884,12.525955,5.222448
91.2,0.000919865,12.504254,5.228326
91.3,0.000920881,12.495119,5.236528
91.4,0.000921866,12.560403,5.244262
91.5,0.000922884,12.480451,5.252184
91.6,0.00092387,12.488545,5.259396
91.7,0.000924863,12.474786,5.265728
91.8,0.00092588,12.495397,5.269735
91.9,0.000926866,12.525688,5.277636
92,0.000927868,12.515586,5.284384
92.1,0.000928878,12.50929,5.294126
92.2,0.000929872,12.510081,5.300429
92.3,0.000930866,12.492991,5.307517
92.4,0.000931869,12.575776,5.31581
92.5,0.000932871,12.450461,5.322821
92.6,0.00093387,12.486576,5.329394
92.7,0.000934873,12.493685,5.335657
92.8,0.000935876,12.482529,5.343249
92.9,0.000936868,12.515523,5.351124
93,0.000937883,12.446192,5.357693
93.1,0.000938876,12.515491,5.364807
93.2,0.000939873,12.492044,5.372405
93.3,0.000940869,12.543302,5.378142
93.4,0.000941879,12.563003,5.387041
93.5,0.000942868,12.437432,5.394961
93.6,0.000943862,12.476646,5.401113
93.7,0.000944891,12.502926,5.407243
93.8,0.000945867,12.492779,5.414149
93.9,0.000946861,12.482686,5.422664
94,0.000947877,12.502384,5.429001
94.1,0.000948865,12.55365,5.437873
94.2,0.000949879,12.438113,5.444851
94.3,0.000950873,12.348512,5.452454
94.4,0.00095186,12.474136,5.45575
94.5,0.000952879,12.480732,5.462761
94.6,0.000953868,12.503704,5.469174
94.7,0.000954861,12.452142,5.47776
94.8,0.000955876,12.500388,5.486575
94.9,0.000956876,12.508176,5.498564
95,0.000957876,12.459061,5.508768
95.1,0.000958865,12.541019,5.516723
95.2,0.000959884,12.539781,5.521196
95.3,0.00096087,12.459735,5.526648
95.4,0.000961868,12.453194,5.533087
95.5,0.000962875,12.476963,5.540889
95.6,0.000963884,12.488059,5.548095
95.7,0.000964865,12.431086,5.554809
95.8,0.000965867,12.491943,5.561614
95.9,0.000966871,12.433442,5.569173
96,0.000967864,12.52062,5.576525
96.1,0.000968863,12.437238,5.583664
96.2,0.000969879,12.455755,5.590167
96.3,0.000970871,12.424234,5.59813
96.4,0.000971864,12.421037,5.605811
96.5,0.000972875,12.451165,5.613826
96.6,0.000973879,12.464129,5.621572
96.7,0.000974868,12.46737,5.626709
96.8,0.00097587,12.44737,5.635162
96.9,0.00097687,12.507592,5.643424
97,0.000977873,12.472063,5.649768
97.1,0.00097887,12.423673,5.657887
97.2,0.00097988,12.440893,5.664075
98.1,0.000980876,12.432308,5.670813
98.2,0.000981874,12.43215,5.678628
98.3,0.000982872,12.414277,5.685278
98.4,0.000983877,12.465616,5.693313
98.5,0.000984874,12.392867,5.700772
98.6,0.000985869,12.434784,5.708185
98.7,0.000986863,12.485233,5.71597
98.8,0.000987884,12.432882,5.723019
98.9,0.000988866,12.429068,5.730387
99,0.000989858,12.440387,5.735199
99.1,0.000990868,12.469636,5.741457
99.2,0.000991867,12.500201,5.745689
99.3,0.000992876,12.451112,5.755549
99.4,0.000993865,12.395093,5.767692
99.5,0.000994866,12.429701,5.776157
99.6,0.000995874,12.375689,5.780707
99.7,0.000996879,12.424203,5.78781
99.8,0.000997871,12.423502,5.797009
99.9,0.000998876,12.403512,5.801843
100,0.000999874,12.43408,5.810452
100.1,0.001000878,12.466947,5.81716
100.2,0.001001883,12.44582,5.82465
100.3,0.001002878,12.412336,5.832603
100.4,0.001003872,12.385129,5.839902
100.5,0.001004885,12.478747,5.847179
100.6,0.001005879,12.416818,5.853022
100.7,0.001006875,12.373247,5.860845
100.8,0.001007866,12.452358,5.869353
100.9,0.001008864,12.393467,5.876575
101,0.001009869,12.434043,5.884494
101.1,0.001010883,12.401872,5.893379
101.2,0.00101187,12.427371,5.901654
101.3,0.001012865,12.460387,5.910644
101.4,0.001013875,12.41487,5.921982
101.5,0.001014873,12.351343,5.937059
101.6,0.001015878,12.388819,5.950322
101.7,0.001016866,12.393863,5.965803
101.8,0.001017866,12.360196,
101.9,0.00101887,12.379834,
102,0.001019883,12.311736,
102.1,0.001020869,12.432039,
102.2,0.001021878,12.410264,
102.3,0.001022877,12.332572,
102.4,0.001023887,12.290367,
102.5,0.001024883,12.257812,
102.6,0.001025874,12.171315,
102.7,0.001026882,11.985525,
102.8,0.001027866,11.980664,
102.9,0.001028861,0.060382911,
103,0.001029876,-0.27976693,
103.1,0.001030861,-0.21459976,
